Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|MC),P(-MC),0.6866,P(ISC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|MC),P(-MC),0.6866,P(-ISC|CT),(0.71·x + -0.02)/(0.71·x + -0.02),(0.71·x + -0.02)/(0.71·x + -0.02),(0.24·xy + -0.65·x + 0.12.y + -0.1) / (0.24·xy + -0.65·x + 0.12·y + -0.1)
P(-B|MC),P(-MC),0.6866,P(C|CT),(-0.71·x + 0.05)/(-0.71·x + 0.05),(0.71·x + -0.02)/(0.71·x + -0.02),(0.2·xy + 0.48·x + -0.47.y + -0.13) / (0.2·xy + 0.48·x + -0.47·y + -0.13)
P(-B|MC),P(-MC),0.6866,P(-C|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|MC),P(-MC),0.6866,P(SH|CT),(-0.66·x + -0.27)/(-0.66·x + -0.27),(0.71·x + -0.02)/(0.71·x + -0.02),(-0.68·xy + 0.14·x + -0.12.y + -0.09) / (-0.68·xy + 0.14·x + -0.12·y + -0.09)
P(-B|MC),P(-MC),0.6866,P(-SH|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
