Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(ISC|MC),P(-C|-B^-ISC),0.6,P(B|MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|MC),P(-C|-B^-ISC),0.6,P(-B|MC),(-0.31·x + -0.64)/(-0.31·x + -0.64),(0.71·x + 0.05)/(0.71·x + 0.05),(-0.2·xy + 0.62·x + -0.22.y + -0.17) / (-0.2·xy + 0.62·x + -0.22·y + -0.17)
P(ISC|MC),P(-C|-B^-ISC),0.6,P(SH|MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|MC),P(-C|-B^-ISC),0.6,P(-SH|MC),(0.7·x + -0.1)/(0.7·x + -0.1),(0.7·x + 0.07)/(0.7·x + 0.07),(-0.35·xy + -0.59·x + -0.16.y + 0.03) / (-0.35·xy + -0.59·x + -0.16·y + 0.03)
P(ISC|MC),P(-C|-B^-ISC),0.6,P(CT|MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|MC),P(-C|-B^-ISC),0.6,P(-CT|MC),(-0.69·x + 0.16)/(-0.69·x + 0.16),(0.7·x + -0.06)/(0.7·x + -0.06),(-0.65·xy + 0.26·x + 0.08.y + 0.06) / (-0.65·xy + 0.26·x + 0.08·y + 0.06)
