Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(ISC|MC),P(C|B^-ISC),0.6,P(B|MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|MC),P(C|B^-ISC),0.6,P(-B|MC),(-0.31·x + -0.63)/(-0.31·x + -0.63),(-0.71·x + 0.04)/(-0.71·x + 0.04),(-0.68·xy + 0.13·x + 0.07.y + 0.13) / (-0.68·xy + 0.13·x + 0.07·y + 0.13)
P(ISC|MC),P(C|B^-ISC),0.6,P(SH|MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|MC),P(C|B^-ISC),0.6,P(-SH|MC),(-0.31·x + -0.64)/(-0.31·x + -0.64),(0.16·x + 0.69)/(0.16·x + 0.69),(0.65·xy + 0.22·x + -0.14.y + -0.04) / (0.65·xy + 0.22·x + -0.14·y + -0.04)
P(ISC|MC),P(C|B^-ISC),0.6,P(CT|MC),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(ISC|MC),P(C|B^-ISC),0.6,P(-CT|MC),(0.7·x + -0.12)/(0.7·x + -0.12),(-0.69·x + -0.16)/(-0.69·x + -0.16),(-0.7·xy + 0.02·x + -0.08.y + -0.0) / (-0.7·xy + 0.02·x + -0.08·y + -0.0)
