Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-B|-MC),P(SH|B),0.5385,P(MC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(SH|B),0.5385,P(-MC|CT),(0.7·x + 0.06)/(0.7·x + 0.06),(0.67·x + -0.23)/(0.67·x + -0.23),(0.02·xy + 0.71·x + -0.03.y + 0.04) / (0.02·xy + 0.71·x + -0.03·y + 0.04)
P(-B|-MC),P(SH|B),0.5385,P(ISC|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
P(-B|-MC),P(SH|B),0.5385,P(-ISC|CT),(0.7·x + 0.06)/(0.7·x + 0.06),(-0.71·x + 0.04)/(-0.71·x + 0.04),(-0.45·xy + 0.24·x + -0.49.y + -0.04) / (-0.45·xy + 0.24·x + -0.49·y + -0.04)
P(-B|-MC),P(SH|B),0.5385,P(C|CT),(-0.71·x + 0.05)/(-0.71·x + 0.05),(0.68·x + 0.19)/(0.68·x + 0.19),(-0.29·xy + 0.63·x + 0.09.y + 0.07) / (-0.29·xy + 0.63·x + 0.09·y + 0.07)
P(-B|-MC),P(SH|B),0.5385,P(-C|CT),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·x + 0.0)/(0.0·x + 1.0),(0.0·xy + 0.0·x + 0.0.y + 0.0) / (0.0·xy + 0.0·x + 0.0·y + 1.0)
