Param1,Param2,Sensitivity value,Target,Sens Function 1,Sens Function 2,Two-way Sens Function
P(-MC),P(ISC|MC),0.6,P(B),0.2·x + 0.2,-0.0·x + 0.38,(-0.0·xy + 0.2·x + 0.0·y + 0.2)
P(-MC),P(ISC|MC),0.6,P(-B),-0.2·x + 0.8,0.0·x + 0.78,(-0.0·xy + -0.2·x + 0.0·y + 0.8)
P(-MC),P(ISC|MC),0.6,P(C),0.26·x + 0.31,-0.43·x + 0.72,(-0.02·xy + 0.27·x + -0.33·y + 0.61)
P(-MC),P(ISC|MC),0.6,P(-C),-0.16·x + 0.6,0.43·x + 0.28,(-0.48·xy + 0.18·x + 0.48·y + 0.26)
P(-MC),P(ISC|MC),0.6,P(SH),0.04·x + 0.64,0.0·x + 0.68,(-0.01·xy + 0.04·x + 0.0·y + 0.64)
P(-MC),P(ISC|MC),0.6,P(-SH),-0.04·x + 0.36,0.0·x + 0.35,(0.0·xy + -0.04·x + -0.0·y + 0.36)
P(-MC),P(ISC|MC),0.6,P(CT),-0.06·x + 0.64,0.0·x + 0.6,(-0.0·xy + -0.06·x + 0.0·y + 0.64)
P(-MC),P(ISC|MC),0.6,P(-CT),0.06·x + 0.36,0.0·x + 0.41,(-0.0·xy + 0.06·x + 0.0·y + 0.36)
